projectname,ee_depth,ee_depth_fixed,en_depth_fixed,een_depth_fixed,eC_depth,eF_depth,eH_depth,eN_depth,eO_depth,eeC_depth,eeF_depth,eeH_depth,eeN_depth,eeO_depth,molecule,core,basis_short,xTC-HF,xTC-CCSD(T),md_xTC-CCSD(T),xTC-DC-CCSDT,md_xTC-DC-CCSDT,xTC-FCIQMC,md_xTC-FCIQMC,spin_dependent_ee_cusp,spin_dependent_ee,spin_dependent_en,spin_dependent_een
g2_new_projection_5z,-0.9808260139634566,no,no,no,,,,,,,,,,,Be,eCEPP,avdz,-0.98071347209,-1.009930865639,,-1.009930865639,,,,false,false,false,false
g2_new_projection_5z,-0.9808260139634566,no,no,no,,,,,,,,,,,Be,eCEPP,avqz,-0.98071347209,-1.010638576003,,-1.010638576003,,,,false,false,false,false
g2_new_projection_5z,-0.9808260139634566,no,no,no,,,,,,,,,,,Be,eCEPP,avtz,-0.98071347209,-1.011095737109,,-1.011095737109,,,,false,false,false,false
g2_new_projection_5z,-0.9808260139634566,no,no,no,,,,,,,,,,,Be,eCEPP,pvdz,-0.98071347209,-0.999648798473,,,,,,false,false,false,false
g2_new_projection_5z,-0.9808260139634566,no,no,no,,,,,,,,,,,Be,eCEPP,pvqz,-0.98071347209,-1.008029272723,,,,,,false,false,false,false
g2_new_projection_5z,-0.9808260139634566,no,no,no,,,,,,,,,,,Be,eCEPP,pvtz,-0.98071347209,-1.005025537466,,,,,,false,false,false,false
g2_new_projection_5z,-0.6739814728800346,no,no,no,,,,,,,,,,,BeH,eCEPP,avdz,-1.5709494044,-1.590968555088,,-1.591081033145,,,,false,false,false,false
g2_new_projection_5z,-0.6739814728800346,no,no,no,,,,,,,,,,,BeH,eCEPP,avqz,-1.5709494044,-1.590798429241,,-1.590918808169,,,,false,false,false,false
g2_new_projection_5z,-0.6739814728800346,no,no,no,,,,,,,,,,,BeH,eCEPP,avtz,-1.5709494044,-1.591091549965,,-1.591208197409,,,,false,false,false,false
g2_new_projection_5z,-0.6739814728800346,no,no,no,,,,,,,,,,,BeH,eCEPP,pvdz,-1.5709494044,-1.587132704891,,,,,,false,false,false,false
g2_new_projection_5z,-0.6739814728800346,no,no,no,,,,,,,,,,,BeH,eCEPP,pvqz,-1.5709494044,-1.590494236249,,,,,,false,false,false,false
g2_new_projection_5z,-0.6739814728800346,no,no,no,,,,,,,,,,,BeH,eCEPP,pvtz,-1.5709494044,-1.590284204347,,,,,,false,false,false,false
g2_new_projection_5z,-0.4820292369212865,no,no,no,0.03255297410953377,,,,,0.18464997565481375,,,,,C,eCEPP,avdz,-5.355052358946,-5.414494489314,,-5.414668501809,,,,false,false,false,false
g2_new_projection_5z,-0.4820292369212865,no,no,no,0.03255297410953377,,,,,0.18464997565481375,,,,,C,eCEPP,avqz,-5.355052358946,-5.417485438928,,-5.417722543334,,,,false,false,false,false
g2_new_projection_5z,-0.4820292369212865,no,no,no,0.03255297410953377,,,,,0.18464997565481375,,,,,C,eCEPP,avtz,-5.355052358946,-5.419312903905,,-5.419548116779,,,,false,false,false,false
g2_new_projection_5z,-0.4820292369212865,no,no,no,0.03255297410953377,,,,,0.18464997565481375,,,,,C,eCEPP,pvdz,-5.355052358946,-5.410783163101,,,,,,false,false,false,false
g2_new_projection_5z,-0.4820292369212865,no,no,no,0.03255297410953377,,,,,0.18464997565481375,,,,,C,eCEPP,pvqz,-5.355052358946,-5.417450811184,,,,,,false,false,false,false
g2_new_projection_5z,-0.4820292369212865,no,no,no,0.03255297410953377,,,,,0.18464997565481375,,,,,C,eCEPP,pvtz,-5.355052358946,-5.418628605405,,,,,,false,false,false,false
