projectname,ee_depth,ee_depth_fixed,en_depth_fixed,een_depth_fixed,eC_depth,eF_depth,eH_depth,eN_depth,eO_depth,eeC_depth,eeF_depth,eeH_depth,eeN_depth,eeO_depth,molecule,core,basis_short,method,energy_au,spin_dependent_ee_cusp,spin_dependent_ee,spin_dependent_en,spin_dependent_een,ee_cutoff,en_cutoff,een_cutoff,VMC_opt
heat_ccecp_default,-0.48313114726438344,no,no,no,0.03669567144862333,,,,,0.15323465143296888,,,,,C,ccECP,avdz,CCSD(T),-5.41446448277,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.48246164612334,no,no,no,0.03466548907440967,,,,,0.18903822354318045,,,,,C,ccECP,avtz,CCSD(T),-5.418971459219,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.40751188296858604,no,no,no,0.039380750827673665,,0.054309742847711326,,,0.12741349007615288,,-0.019868031359060283,,,C2H,ccECP,avdz,CCSD(T),-11.738079135352,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.404911836244551,no,no,no,0.03881729951312733,,0.030261186588565196,,,0.12248129186397198,,-0.04853699133971822,,,C2H,ccECP,avtz,CCSD(T),-11.758978371442,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.4209771427200345,no,no,no,0.048352238339196996,,0.05387643252503666,,,0.12437869477608177,,-0.020031399204371837,,,C2H2,ccECP,avdz,CCSD(T),-12.461786698729,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.41738946362651097,no,no,no,0.043298511335243,,0.03210734554196189,,,0.12491675415692088,,-0.053960511821863996,,,C2H2,ccECP,avtz,CCSD(T),-12.482423389403,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.33458265380879704,no,no,no,0.022874458754273935,0.16317741883493564,,,,0.071368567451328,0.11156210455490667,,,,CF,ccECP,avdz,CCSD(T),-29.80210193423,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.340322175866619,no,no,no,0.022080274594047395,0.17447588241273398,,,,0.08427153730886178,0.11246654884385598,,,,CF,ccECP,avtz,CCSD(T),-29.829756702717,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.46956101032033054,no,no,no,0.03205363508920932,,0.051196701519880664,,,0.15393941566086844,,-0.012079597689440369,,,CH,ccECP,avdz,CCSD(T),-6.04712646774,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.4657330934369145,no,no,no,0.03972222971408067,,0.029833370209632212,,,0.15783847222299732,,-0.03179877995770584,,,CH,ccECP,avtz,CCSD(T),-6.053192889966,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.4380094614760755,no,no,no,0.023662308917617992,,0.05164923646466666,,,0.1399883152535422,,-0.012955373825723187,,,CH2,ccECP,avdz,CCSD(T),-6.714599542326,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.429834437583045,no,no,no,0.044619529744649,,0.03020545465148209,,,0.1318615680556022,,-0.04690268984037644,,,CH2,ccECP,avtz,CCSD(T),-6.722515686137,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.44647443463741954,no,no,no,0.02609603783120074,,0.05060200804082466,,,0.12184805622005333,,-0.020333903544061366,,,CH3,ccECP,avdz,CCSD(T),-7.400834961635,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.43463525826334054,no,no,no,0.046535713760051334,,0.028760471871481057,,,0.13660549617717643,,-0.04997312686404311,,,CH3,ccECP,avtz,CCSD(T),-7.409455845924,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.37138611943742694,no,no,no,0.04170278967211066,,,0.061630695387868,,0.10647848045161422,,,0.12053602530484532,,CN,ccECP,avdz,CCSD(T),-15.449495343887,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.37159294061226,no,no,no,0.028098132763941422,,,0.06891477395661466,,0.09574487880753911,,,0.11824654695681198,,CN,ccECP,avtz,CCSD(T),-15.473205419827,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.35489934895613395,no,no,no,0.031937010072107454,,,,0.10475325097371266,0.11385079120442755,,,,0.12745258149657954,CO,ccECP,avdz,CCSD(T),-21.689893879564,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.35440139223636896,no,no,no,0.023651483749415413,,,,0.100167531011049,0.090039378968332,,,,0.131932099042108,CO,ccECP,avtz,CCSD(T),-21.719445795398,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.3527929452465615,no,no,no,0.03419665306736766,,,,0.110029646991712,0.07467706979900977,,,,0.11968169665193731,CO2,ccECP,avdz,CCSD(T),-37.766247837485,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.358930598408799,no,no,no,0.030595998770790986,,,,0.11877279530702634,0.04754840426606755,,,,0.12096903839668445,CO2,ccECP,avtz,CCSD(T),-37.813037183109,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.3049352989935885,no,no,no,,0.15987518536654166,,,,,0.12041048294842444,,,,F,ccECP,avdz,CCSD(T),-24.18657073355,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.305717539430457,no,no,no,,0.160819630737283,,,,,0.12000834478734533,,,,F,ccECP,avtz,CCSD(T),-24.199975029766,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.32707555562147705,no,no,no,,0.160253854341011,,,,,0.09593401360846888,,,,F2,ccECP,avdz,CCSD(T),-48.429031031502,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.3311758288682145,no,no,no,,0.160492165730652,,,,,0.09761335326481778,,,,F2,ccECP,avtz,CCSD(T),-48.462120987536,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.7460925360612716,no,no,no,,,0.06617499391859799,,,,,,,,H2,ccECP,avdz,CCSD(T),-1.173047426519,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.7102241154511694,no,no,no,,,0.03376337254349633,,,,,,,,H2,ccECP,avtz,CCSD(T),-1.17455215529,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.354818749599753,no,no,no,,,0.03668935269615333,,0.10813755636724233,,,-0.017959750345651206,,0.13615935885882088,H2O,ccECP,avdz,CCSD(T),-17.241346122391,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.3490878722219415,no,no,no,,,0.024278587284643313,,0.11150337213082834,,,-0.04213502054174182,,0.13101003545931245,H2O,ccECP,avtz,CCSD(T),-17.257025359334,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.3569348383954365,no,no,no,,,0.039705642235062996,,0.10498621771179634,,,-0.027948202235202002,,0.10897720058531378,H2O2,ccECP,avdz,CCSD(T),-33.168220883224,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.361525696367781,no,no,no,,,0.029936865851571546,,0.11026996940440932,,,-0.053612265572124,,0.1102412235404431,H2O2,ccECP,avtz,CCSD(T),-33.201289481416,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.384117371443377,no,no,no,0.04839878157954,,0.047476537189820325,0.061233957434093995,,0.10871841333427333,,-0.03042221218148919,0.1329357366988,,HCN,ccECP,avdz,CCSD(T),-16.162650355023,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.383257101197619,no,no,no,0.039264664477377,,0.0313226032835211,0.06843532540733765,,0.10790077441756933,,-0.05671984155077332,0.12506719791045778,,HCN,ccECP,avtz,CCSD(T),-16.184995603861,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.35603900926923304,no,no,no,0.031655885972135235,,0.04890990966034066,,0.10653005736864465,0.10383061918235288,,-0.07154046517581822,,0.12311074617300799,HCO,ccECP,avdz,CCSD(T),-22.222695145481,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.35904123108426,no,no,no,0.027928882485907625,,0.030563054336485478,,0.11299816173463967,0.07711932857162221,,-0.09124957374534089,,0.12153459813434489,HCO,ccECP,avtz,CCSD(T),-22.250236477205,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.3193564405570275,no,no,no,,0.163794481240969,0.036210373146627665,,,,0.12290636877493866,-0.018448280436440114,,,HF,ccECP,avdz,CCSD(T),-24.911172844759,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.3158978453256225,no,no,no,,0.16880767595686133,0.02325615959529275,,,,0.11832020182000089,-0.043790614933063264,,,HF,ccECP,avtz,CCSD(T),-24.925114629681,false,false,false,false,4.5,1,2,varmin
heat_ccecp_default,-0.3461511556132635,no,no,no,,,0.04209292857170433,0.06157041395216066,0.099416810312713,,,-0.07105852832707733,0.08873252634591156,0.1143667691488462,HNO,ccECP,avdz,CCSD(T),-26.453402805511,false,false,false,false,4.5,1,2,varmin
